"configuration_form_leading_indicator_Id","leading_indicator_name","Technology","MTPM","uom_metric","uom_imperial","leading_indicator_path","configuration_form_mtpm_id"
"CORNWETMILLCORNGLUTENMEALPROTEINFINEFIBERADDITIONRATE","Fine Fiber Addition Rate","Corn Wet Mill","Corn Gluten Meal Protein","m3/h","gpm","Wahpeton\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\Fine Fiber Addition Rate","WAHPETONCORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLCORNGLUTENMEALPROTEINHSWADDITIONRATE","HSW Addition Rate","Corn Wet Mill","Corn Gluten Meal Protein","m3/h","gpm","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\HSW Addition Rate","FORTDODGECORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLCORNGLUTENMEALPROTEINPRIMARYFEEDDENSITY","Primary Feed Density","Corn Wet Mill","Corn Gluten Meal Protein","Be","Be","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\Primary Feed Density","FORTDODGECORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLCORNGLUTENMEALPROTEINPRIMARYOFSPINNERS","Primary OF Spinners","Corn Wet Mill","Corn Gluten Meal Protein","mL","mL/15mL","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\Primary OF Spinners","FORTDODGECORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLCORNGLUTENMEALPROTEINPRIMARYUFBAUME","Primary UF Baume","Corn Wet Mill","Corn Gluten Meal Protein","Be","Be","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\Primary UF Baume","FORTDODGECORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLCORNGLUTENMEALPROTEINPRIMARYUFVALVEPOSITION","Primary UF Valve Position","Corn Wet Mill","Corn Gluten Meal Protein","%","%","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Corn Gluten Meal Protein\Primary UF Valve Position","FORTDODGECORNWETMILLCORNGLUTENMEALPROTEIN"
"CORNWETMILLLIGHTSTEEPWATERPROTEINLSWDBPROTEIN","LSW DB Protein","Corn Wet Mill","Light Steepwater Protein","%db","%db","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Light Steepwater Protein\LSW DB Protein","FORTDODGECORNWETMILLLIGHTSTEEPWATERPROTEIN"
"CORNWETMILLLIGHTSTEEPWATERPROTEINLSWDENSITY","LSW Density","Corn Wet Mill","Light Steepwater Protein","Be","Be","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Light Steepwater Protein\LSW Density","FORTDODGECORNWETMILLLIGHTSTEEPWATERPROTEIN"
"CORNWETMILLLIGHTSTEEPWATERPROTEINSTARCHWASHWATERRATIO","Starch Wash Water Ratio","Corn Wet Mill","Light Steepwater Protein","kg-water/kg-starch","lb-water/lb-starch","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Light Steepwater Protein\Starch Wash Water Ratio","FORTDODGECORNWETMILLLIGHTSTEEPWATERPROTEIN"
"CORNWETMILLLIGHTSTEEPWATERPROTEINSTEEPTIMES","Steeptimes","Corn Wet Mill","Light Steepwater Protein","h","h","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Light Steepwater Protein\Steeptimes","FORTDODGECORNWETMILLLIGHTSTEEPWATERPROTEIN"
"CORNWETMILLOILINFIBER3RDGRINDFEEDFLOATERS","3rd Grind Feed Floaters","Corn Wet Mill","Oil in Fiber","floaters/500 ml","floaters/500 ml","Wahpeton\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\3rd Grind Feed Floaters","WAHPETONCORNWETMILLOILINFIBER"
"CORNWETMILLOILINFIBER3RDGRINDFEEDSINKERS","3rd Grind Feed Sinkers","Corn Wet Mill","Oil in Fiber","sinkers/500 ml","sinkers/500 ml","Wahpeton\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\3rd Grind Feed Sinkers","WAHPETONCORNWETMILLOILINFIBER"
"CORNWETMILLOILINFIBERHIGH-PRESSURESCREENWASHFREQUENCY(2NDGRINDSCREENS)","High-Pressure Screen Wash Frequency (2nd Grind Screens)","Corn Wet Mill","Oil in Fiber","h","h","Wahpeton\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\High-Pressure Screen Wash Frequency (2nd Grind Screens)","WAHPETONCORNWETMILLOILINFIBER"
"CORNWETMILLOILINFIBERK1PRESSURESFEEDPRESSURE","K1 Pressures Feed Pressure","Corn Wet Mill","Oil in Fiber","bar","psi","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\K1 Pressures Feed Pressure","FORTDODGECORNWETMILLOILINFIBER"
"CORNWETMILLOILINFIBERK3PRESSURESFEEDPRESSURE","K3 Pressures Feed Pressure","Corn Wet Mill","Oil in Fiber","kPa","psi","Fort Dodge\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\K3 Pressures Feed Pressure","FORTDODGECORNWETMILLOILINFIBER"
"CORNWETMILLOILINFIBEROILINFIBER","Oil in Fiber","Corn Wet Mill","Oil in Fiber","%db","%db","Hammond\_Reporting\Corn Wet Mill\KPI\Oil in Fiber\Oil in Fiber","HAMMONDCORNWETMILLOILINFIBER"
